Lines_of_Code,Cyclomatic_Complexity,Num_Functions,Code_Churn,Comment_Density,Num_Bugs,Has_Unit_Tests,Code_Owner_Experience,Quality_Label
356.0,31,144,69.56704674111288,0.4675606016072429,2,Yes,4,Medium
227.0,15,104,131.84442225798875,0.795643059788489,2,No,5,High
9674.0,47,141,118.7290267002287,0.31683898511102926,5,No,1,High
6967.0,42,107,194.39715468590651,0.9718826992263349,5,Yes,3,Low
7954.0,35,114,69.2022927785319,0.5594174313719161,1,No,8,Medium
2305.0,38,120,164.29955877293872,0.3538601529447827,5,No,6,Medium
8613.0,22,26,54.9685517504471,0.35585565374663797,5,Yes,3,Medium
4479.0,5,149,88.06024679001001,0.11646998803357345,7,Yes,7,High
8167.0,48,165,68.07458775569572,0.723187801680661,1,Yes,6,Low
6377.0,13,179,75.22791442230289,0.798353472408038,5,Yes,5,Medium
9808.0,32,92,92.1310175916464,0.12918499563132063,3,Yes,8,High
,3,147,172.0874183043652,0.6273410852178579,1,No,8,High
8410.0,15,37,122.83214573714207,0.8035054009933796,2,No,3,High
7181.0,27,19,161.70389152406418,0.438616043551902,3,Yes,8,High
2471.0,27,31,100.72878863600177,0.48946742456922077,4,Yes,9,Low
5116.0,30,193,164.13676373338285,0.4254624099209262,1,Yes,3,Low
6402.0,6,116,111.35044709535521,0.3840856467098266,4,Yes,8,High
6482.0,25,86,60.53723757817199,0.5420275512867287,2,No,8,Medium
6639.0,28,52,,0.2494905941199021,3,No,7,Low
6552.0,22,12,174.19510740267654,0.4966189131086731,0,Yes,8,Medium
6492.0,4,138,131.91584834128378,0.9476426118449849,2,No,1,Medium
4896.0,15,195,141.54399802806557,0.12466188801749194,6,No,3,Low
2541.0,26,122,163.95765434519103,0.2482690742677259,5,Yes,6,Medium
1117.0,18,88,86.4975832944504,,5,Yes,7,Low
4601.0,9,6,64.10275938704217,0.21885138092234052,4,No,7,Low
3147.0,4,154,118.13489055909677,0.34415280955247096,1,No,6,Medium
5894.0,48,122,186.32255959807662,0.5093550316399202,3,No,4,Medium
4350.0,5,25,115.05948230780619,0.9488460318769941,2,No,5,High
6047.0,45,138,,0.2651510685732125,2,Yes,9,Low
8485.0,6,127,103.7365019446717,0.9307761346038848,2,No,1,Medium
7491.0,12,100,114.72864623658705,0.7466720614415673,3,Yes,2,Low
2546.0,31,17,73.59909392223345,0.7040304205688548,0,No,5,High
7223.0,47,5,,0.7511882716450289,4,No,5,High
1499.0,9,154,,0.1281219570724037,10,Yes,7,High
6395.0,7,121,24.874229141483212,0.1890102349625674,3,Yes,8,High
3787.0,29,156,24.94290778518433,0.40135737586620557,2,No,6,High
7964.0,14,68,12.306908405551738,0.1665707798338099,5,No,6,High
6227.0,20,173,173.7728599407528,0.9888307385458798,4,Yes,5,High
652.0,48,154,53.760325650300004,0.6223709873306598,2,No,5,High
5643.0,32,65,117.58637212178294,0.5386093040286857,5,Yes,8,Low
9021.0,22,112,189.2507944774985,0.8069606064091395,9,Yes,5,Medium
2660.0,36,16,116.62619114755009,0.9792632861307908,0,No,6,Low
5208.0,44,94,125.71467255463477,0.9596170000762972,2,No,3,Low
4366.0,18,136,57.843741372336865,0.8137583963098265,2,Yes,5,Medium
5045.0,40,87,116.66054881176818,0.4394568132647888,2,Yes,9,Medium
9085.0,49,132,50.24517710406941,0.15936354242011605,9,Yes,3,High
5784.0,25,144,4.834427715547889,0.18853927995617303,1,Yes,8,Medium
8416.0,31,37,102.61709591451856,0.10103710671512874,2,Yes,7,Low
,35,153,116.04080804178406,0.10171255890237031,2,Yes,4,High
2651.0,26,132,,0.9427796190401156,1,No,5,Low
3948.0,4,104,62.66876086345067,0.9343152722867492,3,No,8,Medium
3556.0,42,110,89.32844190550367,0.7007984197343219,3,Yes,7,Low
2858.0,48,76,63.663176324583546,0.7540090517982723,3,No,2,Low
3855.0,20,78,137.11007408850813,0.561887610985034,4,Yes,8,High
3742.0,34,100,122.34231654175277,0.3140580304794992,2,Yes,8,High
8219.0,12,96,181.40205852026682,0.9229465441979282,1,Yes,9,Low
1760.0,16,78,82.22459169514093,0.349922320623415,5,No,2,Medium
8329.0,42,76,103.49111337509919,0.765704134854671,6,No,4,High
5686.0,5,184,108.67898504925152,0.3208921162514917,4,Yes,2,Low
,44,179,81.3502899797844,0.88313357624426,2,Yes,4,High
6558.0,35,63,0.8255641521635226,0.6861154909829329,3,No,3,High
9600.0,44,179,122.19450900250982,0.6784255185010588,2,No,7,Medium
6225.0,27,60,216.7410845673424,0.18763051306772793,3,Yes,5,Low
3023.0,1,17,149.96777058961106,0.47752201285228146,2,Yes,7,Low
2808.0,34,176,197.90933789622454,,2,No,2,Low
4271.0,43,39,144.83981804526485,0.36463265956999913,3,No,4,Low
8522.0,32,123,92.40162529801994,0.8928771506501191,3,Yes,6,Low
2850.0,44,119,130.0791167810389,0.8539029473600995,2,Yes,5,High
,39,161,153.49464404255656,0.5442588211082771,1,Yes,2,High
8031.0,33,60,19.967303215231,0.40602808237970345,2,Yes,7,High
2904.0,31,137,122.24107734879591,0.82138804480508,7,Yes,2,High
5544.0,13,199,95.07836145004448,0.2772023027871149,3,Yes,9,Medium
941.0,45,57,173.8722341770402,0.16436468358426948,1,No,7,Medium
5675.0,2,105,118.61625830464537,0.14113943746475296,4,No,3,Low
7610.0,30,124,-23.015220315555226,0.13481493480820023,2,No,6,Medium
,10,64,121.99431023822422,0.5399997908231606,1,Yes,5,High
3634.0,23,109,-3.0925776839269616,0.32978227248942416,5,Yes,9,High
7957.0,33,138,163.7054208179796,0.7213376092257527,2,No,3,High
707.0,39,180,61.605589989603374,0.6885024166364548,0,No,2,High
7494.0,45,110,43.462710089906395,0.5878180064296225,1,Yes,2,High
4718.0,29,84,61.447528424404204,0.4175589532851667,3,No,4,Low
4060.0,30,167,55.316287961108216,0.8654106204871572,1,No,1,Low
4357.0,34,150,92.2144919547264,0.7387324779700482,2,Yes,9,High
5712.0,39,15,56.97460849198495,0.3443735116284927,2,No,3,Low
301.0,17,55,84.95875173458356,0.551519796082159,4,No,5,Medium
6659.0,22,125,22.886023202407486,0.24064408794183695,3,No,2,Medium
5231.0,5,27,87.4177555942021,0.3958986619917165,2,Yes,8,High
,11,51,171.12936703513952,0.9974261645771803,1,Yes,3,Low
851.0,22,79,77.57071237153252,0.3014597982404764,1,No,5,High
7645.0,32,191,131.20733840836863,0.7284721201463247,2,No,7,Low
5444.0,24,189,37.18545139937041,0.31457678119932553,4,Yes,2,High
1305.0,11,97,128.9848033020888,0.9443210851052303,1,Yes,3,High
,11,131,156.87921146971854,0.3791195604913308,4,Yes,8,High
3987.0,17,60,171.26059916071398,0.4120201671820384,5,Yes,8,Medium
1430.0,32,159,110.03738503162178,0.6344737957595685,6,Yes,3,Low
8722.0,19,77,133.5721385551437,0.6293005940034413,3,No,7,Low
7619.0,27,167,35.97405767991421,0.6211687508174618,5,Yes,2,Medium
4783.0,32,187,80.82950686623681,0.6159292015656167,1,No,9,Medium
2374.0,25,141,59.98581625192146,0.3809682043481878,3,No,8,Low
,28,22,116.42264112464858,0.49096920100468755,3,Yes,9,Low
3465.0,40,48,73.58923899590225,0.6340900988268793,4,Yes,9,High
1363.0,27,153,134.33939739896286,0.7041431113004042,1,Yes,7,High
4336.0,14,60,223.4295164556527,0.3278161121712354,1,No,4,Low
,42,180,131.0787379570856,0.7313275555326467,0,Yes,5,Low
3833.0,39,104,170.58289916703166,0.930948625101373,1,No,7,High
1765.0,2,5,40.772371968097495,0.7821349330094098,5,Yes,5,Medium
960.0,17,159,95.75149333359947,0.17580952254044957,5,No,8,Low
944.0,1,49,110.84277209689238,0.522213598081019,2,No,5,Low
236.0,45,67,103.25278488972879,0.49173745198516705,3,Yes,5,Medium
5847.0,32,62,,0.40285298081643717,1,Yes,5,Medium
6594.0,19,172,62.805697652846426,0.5421881259127029,4,No,4,Medium
5886.0,14,67,116.15620138249382,0.49567039605989094,6,No,7,Low
9445.0,31,42,-21.423387584778283,0.10555342945062438,6,Yes,2,Low
9270.0,18,33,121.23365526817595,0.3128997502828629,2,No,4,Low
8860.0,14,44,125.29579279572755,0.2924039307541126,1,No,3,High
6300.0,47,151,97.38742683403571,0.41433358711851964,0,Yes,8,Medium
8425.0,14,92,119.76507584890956,0.25701106755187453,2,Yes,7,Medium
2161.0,24,60,71.7755304127576,0.1610212993403608,2,No,3,High
4478.0,5,48,38.92402282151588,0.27695156953151157,6,No,4,High
3830.0,16,197,50.572981465939456,0.8687681077775185,6,Yes,4,High
8418.0,5,104,57.371699059831286,,7,Yes,7,High
6222.0,13,145,35.38241955164409,0.49788657768317035,2,Yes,8,Medium
1895.0,16,162,33.408881681093845,0.8900335305808871,3,No,4,High
4413.0,15,53,58.49679173042956,0.3093990563087055,6,Yes,8,High
8287.0,31,119,82.19484091405944,0.6257882270793086,2,No,1,Medium
4940.0,5,79,106.5938251129482,0.22863238799176988,6,Yes,9,Medium
3826.0,21,195,38.80461730298565,0.8500606205944508,1,Yes,7,Medium
359.0,30,167,53.30706763427619,0.21752340174266727,3,No,4,Medium
1341.0,23,143,69.28675171061842,0.12867414308059888,4,Yes,8,Low
1943.0,38,53,121.84393857206663,0.3460998070613758,3,No,2,Low
5877.0,29,111,40.243406885229724,0.910841580412321,1,Yes,8,Low
9804.0,13,115,74.13677347762774,0.21651137373379892,6,Yes,6,Low
2380.0,32,119,148.6202772704254,0.3976032418259857,3,Yes,7,Medium
9247.0,48,172,60.26887453871779,0.38477349371097347,4,Yes,7,Low
7896.0,42,25,37.63605349890202,0.8214816466872019,6,Yes,2,High
4667.0,27,51,95.63903686317602,0.47937285980202216,2,No,2,High
9400.0,34,7,58.43950401682732,0.650410344653215,2,No,4,High
9834.0,45,162,-38.09723349928478,0.463944705249588,2,No,6,Low
8672.0,49,131,109.95228839700341,0.5963113136231821,1,Yes,4,Low
1355.0,33,71,143.5118545866794,0.15619665161568858,4,Yes,6,High
6562.0,4,66,98.88206814967869,0.43662649432612144,2,Yes,5,Low
1758.0,18,169,152.15991578145662,0.8695952539659584,4,Yes,6,Medium
2748.0,6,154,132.20129490550528,0.7219608068640175,0,No,9,Low
